report_date,"Loin, tndrloin, trmd, heavy (189A  4)_price","Loin, top butt, CC (184B  3)_price","Loin, top butt, bnls, heavy (184  1)_price","Loin, tndrloin, trmd, heavy (189A  4)_volume","Loin, top butt, CC (184B  3)_volume","Loin, top butt, bnls, heavy (184  1)_volume"

4/6/01,755.79,,227.41,1627352,,1179256

4/13/01,0,,236.97,,,717345

4/20/01,782.49,,238.74,440118,,290149

4/27/01,789.1,,245.96,779768,,601362

5/4/01,810.93,,265.47,527212,,395719

5/11/01,831.71,,275.48,469451,,872231

5/18/01,843.54,,284.4,663838,,495537

5/25/01,845.75,,310.13,475882,,336833

6/1/01,839.96,,315.74,457375,,384470

6/8/01,817.44,,0,460740,,

6/15/01,794.1,,304.47,466298,,277871

6/22/01,754.04,,255.88,856760,,1184541

6/29/01,731.34,,257.72,859435,,434655

7/6/01,714.63,,243.63,485257,,174686

7/13/01,689.07,,214.56,341559,,565819

7/20/01,675.63,,199.64,1164692,,833789

7/27/01,699.81,,207.43,437600,,991542

8/3/01,692.07,,191.49,377330,,406896

8/10/01,683.88,,180.84,1036051,,429305

8/17/01,699.46,,178.13,628528,,734117

8/24/01,708.59,,182.19,356897,,414686

8/31/01,701.95,,168.46,862235,,819203

9/7/01,703.38,,169.65,904113,,522294

9/14/01,707.37,,174.54,549283,,560064

9/21/01,706.13,,174.72,270049,,633577

9/28/01,671.33,,167.98,424794,,471114

10/5/01,638.72,,166.23,758349,,472033

10/12/01,647.87,,172.68,478934,,376155

10/19/01,640.45,,171.67,392288,,446808

10/26/01,618.94,,168.88,532697,,394885

11/2/01,606.98,,161.33,766467,,599359

11/9/01,598.01,,156.7,730514,,486679

11/16/01,603.83,,157.28,790516,,601642

11/23/01,670.65,,160.75,461979,,547846

11/30/01,735.18,,161.78,261341,,564368

12/7/01,745.7,,162.06,505810,,530973

12/14/01,755.13,,160.06,387227,,558590

12/21/01,742.24,,161,460758,,442173

12/28/01,697.52,,163.84,473521,,400221

1/4/02,686.06,,166.94,556130,,557629

1/11/02,700.22,,163.41,660513,,613471

1/18/02,716.55,,166.56,479313,,516240

1/25/02,698.08,,167.29,246060,,869720

2/1/02,677.02,,180.37,1030766,,1026101

2/8/02,689.63,,197.65,530778,,518234

2/15/02,688.53,,221.79,601296,,298758

2/22/02,663.96,,221.53,1001760,,400822

3/1/02,679.46,,224.47,1266040,,563656

3/8/02,703.41,,232.15,317800,,536792

3/15/02,717.63,,231.35,439326,,488070

3/22/02,730.33,,207.72,390329,,585298

3/29/02,690.22,,193.16,720923,,740658

4/5/02,685.27,,187.73,624326,,716757

4/12/02,706.2,,198.6,468886,,212363

4/19/02,696.95,,205.65,623530,,264822

4/26/02,688.05,,208.4,678668,,588373

5/3/02,690.52,,204.41,513880,,382868

5/10/02,724.69,,199.46,389776,,327490

5/17/02,736.15,,213.43,512865,,190625

5/24/02,760.49,,217.79,459456,,118368

5/31/02,767.79,,207.45,366594,,337526

6/7/02,775.1,,202.45,417627,,382199

6/14/02,769.66,,198.41,370567,,380985

6/21/02,765.55,,194.95,542784,,659973

6/28/02,760.99,,200.27,398887,,342999

7/5/02,735.17,,189.76,315195,,427143

7/12/02,711.75,,182.58,353901,,501829

7/19/02,693.98,,190.41,455276,,510802

7/26/02,673.4,,194.16,475825,,370771

8/2/02,671.64,,198.05,415909,,337255

8/9/02,663.43,,198.8,996456,,282621

8/16/02,678.02,,207.8,901416,,573144

8/23/02,694.92,,203.18,515877,,430311

8/30/02,716.65,,204.24,440848,,301674

9/6/02,720.02,,195.52,445236,,301539

9/13/02,716.05,,182.1,779063,,484218

9/20/02,735.56,,187.85,668781,,299849

9/27/02,756.24,,181.26,467139,,256732

10/4/02,752.21,,166.48,584917,,515812

10/11/02,759.04,,167.51,387635,,344737

10/18/02,764.2,,169.4,438302,,328267

10/25/02,769.2,,165.24,476415,,337280

11/1/02,772.77,,159.7,338187,,449738

11/8/02,781.56,,161.2,520469,,350133

11/15/02,792.9,,167.03,384904,,420374

11/22/02,818.91,,172.45,321451,,330588

11/29/02,838.05,,167.99,245674,,389678

12/6/02,852.07,,164.26,358688,,634304

12/13/02,874.1,,174.03,279245,,307470

12/20/02,825.25,,179.06,522977,,389354

12/27/02,812.08,,183.02,373233,,273932

1/3/03,821.89,,181.88,390787,,409483

1/10/03,833.95,,183.66,718440,,696905

1/17/03,871.48,,203,192633,,195876

1/24/03,863.65,,203.16,271976,,361323

1/31/03,821.67,,197.23,991018,,749168

2/7/03,837.79,,202.74,450326,,459598

2/14/03,827.11,,195.05,382514,,501636

2/21/03,787.02,,200.55,1066534,,377072

2/28/03,804.62,,194.83,358195,,445800

3/7/03,810.83,,196.85,430847,,332918

3/14/03,803.4,,184.11,394779,,479025

3/21/03,803.28,,190.76,241334,,552961

3/28/03,795.11,,205.69,527377,,442511

4/4/03,797.4,,222.71,315068,,188265

4/11/03,818.72,,226.61,686260,,138699

4/18/03,836.89,,229.29,439981,,202092

4/25/03,847.78,,217.32,295094,,400850

5/2/03,860.8,,225.99,204223,,171003

5/9/03,875.2,,248.05,431845,,205003

5/16/03,895.28,,268.46,334288,,420102

5/23/03,939.26,,297.87,330612,,118664

5/30/03,996.39,,310.93,208647,,169684

6/6/03,999.65,,308.63,330030,,267727

6/13/03,980.34,,290.49,202988,,119301

6/20/03,942.81,,224.23,241512,,593619

6/27/03,882.62,,218.39,334171,,449746

7/4/03,837.76,,224.83,332336,,303721

7/11/03,825.2,,214.73,492064,,461899

7/18/03,814.06,,199.61,325622,,496683

7/25/03,803.2,,203.28,549055,,367839

8/1/03,820.57,,219.52,307755,,388089

8/8/03,828.87,,245.84,147622,,138334

8/15/03,832.39,,231.86,286388,,143617

8/22/03,837.47,,224.85,453258,,496419

8/29/03,859.53,,235.29,335907,,207539

9/5/03,898.87,,244.24,503836,,497071

9/12/03,963.56,,265.25,212816,,199900

9/19/03,1012.44,,275.9,140786,,136469

9/26/03,1035.36,,290.18,142907,,98030

10/3/03,1065.1,,273.93,182175,,151809

10/10/03,1123.55,,280.82,265343,,315557

10/17/03,1250.82,,327.04,169292,,94685

10/24/03,1275.42,,299.41,119255,,68872

10/31/03,1370.95,,241.32,133008,,132715

11/7/03,1407.11,,241.46,112574,,150032

11/14/03,1383.67,,209.78,134218,,281008

11/21/03,1294.59,,212.84,219278,,496117

11/28/03,1241.6,,211.36,387136,,92990

12/5/03,1138,,188.61,280242,,643169

